,count,mean,std,min,25%,50%,75%,max,range
blues,424.0,119.74056603773585,47.97525618793744,36.0,84.0,111.5,147.0,364.0,328.0
classical,93.0,150.86021505376345,116.0153280163266,28.0,81.0,123.0,183.0,823.0,795.0
country,1257.0,166.24025457438344,53.69788573509403,30.0,131.0,166.0,197.0,452.0,422.0
funk,282.0,202.88652482269504,100.70665565855116,40.0,128.25,188.5,251.5,583.0,543.0
hiphop,680.0,352.6470588235294,124.73789483013329,59.0,265.0,343.0,431.25,909.0,850.0
indie_alt,660.0,141.33939393939394,59.9283078990578,34.0,99.0,132.0,170.0,469.0,435.0
jazz,198.0,123.6010101010101,79.52694782554275,32.0,76.0,107.0,144.0,566.0,534.0
metal,898.0,146.5,62.60251792728564,30.0,103.0,136.0,176.75,485.0,455.0
pop,693.0,192.4992784992785,80.09700810624061,36.0,145.0,181.0,224.0,815.0,779.0
punk,569.0,154.72934973637962,59.16184414442616,36.0,114.0,148.0,190.0,562.0,526.0
rnb,362.0,232.48342541436463,93.73343474040644,60.0,167.25,215.5,287.75,658.0,598.0
rock,1225.0,157.45795918367347,61.94401122689282,26.0,117.0,149.0,190.0,528.0,502.0
romance,279.0,144.70250896057348,59.67092938631304,38.0,104.0,138.0,172.0,428.0,390.0
soul,411.0,180.97810218978103,82.09995102520317,44.0,123.0,166.0,226.0,775.0,731.0
